1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
215	-0.134514	26.719544	0.398054	0.018653	1.6
216	-0.136763	25.735018	0.406440	0.012491	1.6
217	-0.141058	24.750468	0.415187	0.017303	1.6
218	-0.152422	25.750468	0.406306	0.014412	1.5
219	-0.141705	26.750465	0.397797	0.011900	1.6
220	-0.132094	27.750465	0.389637	0.011386	1.5
221	-0.144028	28.734374	0.381929	0.015783	1.6
222	-0.131303	28.602498	0.382944	0.017935	1.5
223	-0.145132	29.595247	0.375430	0.015141	1.5
224	-0.150647	30.595247	0.368154	0.015973	1.4
225	-0.131720	29.614722	0.375286	0.017221	1.3
226	-0.132833	28.630171	0.382730	0.016439	1.4
227	-0.126174	27.829437	0.389007	0.009819	1.4
228	-0.144649	28.285132	0.385410	0.016037	1.5
229	-0.124930	29.278975	0.377792	0.024143	1.5
230	-0.152155	28.298585	0.385305	0.015082	1.5
231	-0.141005	27.314131	0.393156	0.015292	1.5
232	-0.127607	28.209081	0.386006	0.020395	1.5
233	-0.147628	27.225869	0.393875	0.014588	1.4
234	-0.155669	27.589076	0.390931	0.015203	1.5
235	-0.153693	28.589076	0.383048	0.014584	1.6
236	-0.130610	27.605721	0.390797	0.016562	1.6
237	-0.147709	26.621170	0.398877	0.013462	1.5
238	-0.129146	25.636619	0.407298	0.009259	1.5
239	-0.143006	24.717244	0.415488	0.017067	1.5
240	-0.135972	25.713148	0.406630	0.010237	1.5
241	-0.119513	24.728600	0.415385	0.012814	1.6
242	-0.133685	25.156206	0.411537	0.016461	1.6
243	-0.154822	26.141475	0.402936	0.016403	1.4
244	-0.138855	25.156924	0.411530	0.013702	1.4
245	-0.139545	26.156924	0.402804	0.014496	1.5
246	-0.152601	27.156305	0.394444	0.012747	1.4
247	-0.141363	28.155134	0.386429	0.013316	1.4
248	-0.150777	29.143438	0.378813	0.013750	1.5
249	-0.148213	30.143436	0.371406	0.016368	1.5
