1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
175	-0.294457	2.079925	1796.222111	0.009912	9.4
176	-0.082371	2.091811	1795.297601	0.006035	9.6
177	-0.115421	2.103696	1794.374042	0.002581	8.7
178	-0.070170	2.115581	1793.451433	0.002788	9.3
179	-0.105724	2.127466	1792.529772	0.004147	7.9
180	-0.138853	2.139352	1791.609057	0.004771	9.2
181	-0.030640	2.151237	1790.689289	0.001650	8.5
182	-0.237955	2.163122	1789.770464	0.006212	7.9
183	-0.043624	2.175008	1788.852581	0.002134	8.2
184	-0.063068	2.186893	1787.935639	0.003019	8.3
185	-0.315108	2.198778	1787.019637	0.007193	8.2
186	-0.426682	2.210663	1786.104573	0.008227	8.0
187	-0.053356	2.222549	1785.190446	0.002728	10.0
188	-0.098199	2.234434	1784.277254	0.004677	9.4
189	-0.255430	2.246319	1783.364996	0.003742	9.9
190	-0.040170	2.258205	1782.453670	0.002183	11.4
191	-0.060489	2.270090	1781.543275	0.002815	12.4
192	-0.161453	2.281975	1780.633809	0.008044	10.5
193	-0.307295	2.293860	1779.725272	0.007690	10.5
194	-0.312970	2.305746	1778.817661	0.011983	10.2
195	-0.264533	2.317631	1777.910976	0.008221	9.8
196	-0.343941	2.329516	1777.005214	0.005788	10.6
197	-0.307949	2.341402	1776.100375	0.005680	10.4
198	-0.224384	2.353287	1775.196456	0.005715	8.2
199	-0.124106	2.365172	1774.293458	0.003525	9.5
