1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
291	-0.238019	22.118031	36.451014	0.005101	2.6
292	-0.208039	21.213761	37.231839	0.001855	2.7
293	-0.217754	20.311869	38.044659	0.001647	2.8
294	-0.234967	20.258298	38.094057	0.003627	2.8
295	-0.238234	19.388657	38.914291	0.003488	3.0
296	-0.277153	18.484345	39.805547	0.003356	2.9
297	-0.220296	19.484344	38.822315	0.001874	2.8
298	-0.245716	19.506247	38.801323	0.002186	2.8
299	-0.240739	20.438760	37.928161	0.001974	3.2
300	-0.270625	21.355391	37.107342	0.004659	2.8
301	-0.259776	21.807055	36.715816	0.002221	2.8
302	-0.208272	22.739474	35.933125	0.003073	2.8
303	-0.248478	23.717704	35.147063	0.003244	3.0
304	-0.268326	22.961788	35.751411	0.002365	3.1
305	-0.235327	23.249762	35.518744	0.002931	3.0
306	-0.300898	23.812711	35.072548	0.002754	2.9
307	-0.245432	22.908496	35.794803	0.003569	2.8
308	-0.216908	22.006085	36.545897	0.003015	2.7
309	-0.200923	21.106909	37.326320	0.002537	2.6
310	-0.218002	21.668692	36.834876	0.005441	3.4
311	-0.233739	22.667611	35.992258	0.003813	3.2
312	-0.219441	23.667611	35.186479	0.005022	2.9
313	-0.220097	22.763299	35.913562	0.002501	2.9
314	-0.218046	23.763010	35.111490	0.003067	2.7
315	-0.218599	24.614336	34.456184	0.002612	2.9
316	-0.264709	25.319592	33.931559	0.003124	2.8
317	-0.235844	24.457725	34.574892	0.001638	2.8
318	-0.234199	25.444105	33.840591	0.002790	2.7
319	-0.254931	24.967688	34.191321	0.003057	2.8
320	-0.236083	24.067913	34.873946	0.004441	2.8
321	-0.257471	23.163618	35.588025	0.003975	3.1
322	-0.204856	22.259306	36.331973	0.004337	2.7
323	-0.252376	23.259230	35.511146	0.003287	2.9
324	-0.257977	22.354991	36.251788	0.002371	2.7
325	-0.224742	21.452414	37.022534	0.002432	2.7
326	-0.242903	22.302195	36.295988	0.005148	2.5
327	-0.260670	23.302176	35.476722	0.002066	2.6
328	-0.238996	22.400309	36.213935	0.002020	2.4
329	-0.248385	22.480661	36.147012	0.001271	2.5
330	-0.225722	23.222104	35.540958	0.002936	2.4
331	-0.245924	22.424461	36.193793	0.001866	2.4
332	-0.225966	22.596497	36.050969	0.001584	2.8
333	-0.242723	23.302626	35.476361	0.005578	3.1
334	-0.251790	24.301094	34.694437	0.001886	3.1
335	-0.269204	25.150155	34.056136	0.003025	3.0
336	-0.228595	24.741412	34.360460	0.003278	2.7
337	-0.239649	25.741324	33.625405	0.006315	2.8
338	-0.230724	24.837012	34.288796	0.005234	3.1
339	-0.231010	23.932699	34.978890	0.003318	2.7
340	-0.235659	23.671474	35.183437	0.002327	2.7
341	-0.246766	22.772927	35.905663	0.001518	2.6
342	-0.261248	23.749224	35.122307	0.001153	2.9
343	-0.216132	23.280325	35.494229	0.002290	2.9
344	-0.212384	23.870178	35.027629	0.002761	3.3
345	-0.262637	22.966088	35.747915	0.003242	2.8
346	-0.220834	23.966082	34.952922	0.002369	2.9
347	-0.266286	23.183207	35.572247	0.001577	2.8
348	-0.225894	23.950302	34.965192	0.003405	2.7
349	-0.258319	24.947776	34.206138	0.002854	2.8
350	-0.247710	25.947451	33.477770	0.003130	2.8
351	-0.243634	26.880160	32.825620	0.005842	2.7
352	-0.248855	27.655033	32.302844	0.003323	2.7
353	-0.250584	28.655033	31.652299	0.002077	2.9
354	-0.254537	27.753097	32.237869	0.001796	2.7
355	-0.210523	28.111724	32.002459	0.002508	2.8
356	-0.244574	28.964762	31.456088	0.002579	3.0
357	-0.214355	28.061115	32.035472	0.002782	2.8
358	-0.244790	27.158936	32.635604	0.003736	2.6
359	-0.246895	26.255852	33.259287	0.002014	2.6
360	-0.258344	27.239241	32.581275	0.003934	3.0
361	-0.252129	26.336055	33.202935	0.002644	2.8
362	-0.233531	27.294170	32.544217	0.003431	2.9
363	-0.239953	26.958786	32.771805	0.003589	2.8
364	-0.245515	26.054957	33.401283	0.000850	2.9
365	-0.239190	25.289740	33.953441	0.002842	2.9
366	-0.250993	25.752576	33.617313	0.004367	2.7
367	-0.267568	26.752576	32.913323	0.001846	3.1
368	-0.264363	26.425002	33.140662	0.003347	2.7
369	-0.242273	27.381860	32.485232	0.004190	2.9
370	-0.245979	28.380920	31.828001	0.003802	2.7
371	-0.210292	29.322903	31.232220	0.003698	2.7
372	-0.231893	28.418590	31.803739	0.002324	2.8
373	-0.227869	27.544614	32.376320	0.002584	3.0
374	-0.249007	26.919901	32.798398	0.001767	2.9
375	-0.245152	26.077652	33.385181	0.004248	3.2
376	-0.239144	27.071574	32.694913	0.003390	3.1
377	-0.250484	28.070146	32.029576	0.003691	2.8
378	-0.234400	29.069706	31.390158	0.002521	3.0
379	-0.237596	28.165469	31.967476	0.001475	2.8
380	-0.216843	27.367112	32.495138	0.004795	2.9
381	-0.267966	26.567140	33.041633	0.002253	2.6
382	-0.229825	25.670641	33.676331	0.001792	2.7
383	-0.229249	24.812395	34.307221	0.003327	2.9
384	-0.227969	25.798432	33.584372	0.002225	2.8
385	-0.261281	26.798271	32.881858	0.002900	2.7
